thread start:0
thread start:1
thread start:2
thread start:3
thread start:4
thread start:5
thread start:6
thread start:7
thread start:8
thread start:9
value, 1494575558015
20170512 15:54:30.671231----DELLock Lock_2,ID:5
20170512 15:54:30.671438----DELLock Lock_3,ID:5
20170512 15:54:30.691037----GetLock Lock_1,ID:4
20170512 15:54:31.191640----DELLock Lock_1,ID:4
20170512 15:54:31.191657----DELLock Lock_2,ID:4
20170512 15:54:31.192084----DELLock Lock_3,ID:4
20170512 15:54:31.198217----GetLock Lock_1,ID:6
20170512 15:54:31.698644----DELLock Lock_1,ID:6
20170512 15:54:31.698651----DELLock Lock_2,ID:6
20170512 15:54:31.698848----DELLock Lock_3,ID:6
20170512 15:54:31.700200----GetLock Lock_1,ID:3
20170512 15:54:32.200370----DELLock Lock_1,ID:3
20170512 15:54:32.200378----DELLock Lock_2,ID:3
20170512 15:54:32.200608----DELLock Lock_3,ID:3
20170512 15:54:32.205884----GetLock Lock_1,ID:8
20170512 15:54:32.254395----lock failed,ID:9
20170512 15:54:32.706087----DELLock Lock_1,ID:8
20170512 15:54:32.706097----DELLock Lock_2,ID:8
20170512 15:54:32.706661----DELLock Lock_3,ID:8
20170512 15:54:32.708299----GetLock Lock_1,ID:1
20170512 15:54:33.208438----DELLock Lock_1,ID:1
20170512 15:54:33.208446----DELLock Lock_2,ID:1
20170512 15:54:33.208731----DELLock Lock_3,ID:1
20170512 15:54:33.214666----GetLock Lock_1,ID:0
20170512 15:54:33.237229----lock failed,ID:2
20170512 15:54:33.714830----DELLock Lock_1,ID:0
20170512 15:54:33.714839----DELLock Lock_2,ID:0
20170512 15:54:33.715034----DELLock Lock_3,ID:0
20170512 15:54:33.715624----GetLock Lock_1,ID:3
20170512 15:54:34.215867----DELLock Lock_1,ID:3
20170512 15:54:34.215873----DELLock Lock_2,ID:3
20170512 15:54:34.216078----DELLock Lock_3,ID:3
20170512 15:54:34.220785----GetLock Lock_1,ID:7
20170512 15:54:34.721566----DELLock Lock_1,ID:7
20170512 15:54:34.721574----DELLock Lock_2,ID:7
20170512 15:54:34.721800----DELLock Lock_3,ID:7
20170512 15:54:34.721852----GetLock Lock_1,ID:1
20170512 15:54:35.222610----DELLock Lock_1,ID:1
20170512 15:54:35.222616----DELLock Lock_2,ID:1
20170512 15:54:35.223170----DELLock Lock_3,ID:1
20170512 15:54:35.224862----GetLock Lock_1,ID:3
20170512 15:54:35.279992----lock failed,ID:5
20170512 15:54:35.724986----DELLock Lock_1,ID:3
20170512 15:54:35.725055----DELLock Lock_2,ID:3
20170512 15:54:35.727313----DELLock Lock_3,ID:3
20170512 15:54:35.727388----GetLock Lock_1,ID:1
20170512 15:54:35.767037----lock failed,ID:4
20170512 15:54:36.228028----DELLock Lock_1,ID:1
20170512 15:54:36.228037----DELLock Lock_2,ID:1
20170512 15:54:36.228420----GetLock Lock_1,ID:3
20170512 15:54:36.229618----DELLock Lock_3,ID:1
20170512 15:54:36.308745----lock failed,ID:6
20170512 15:54:36.729090----DELLock Lock_1,ID:3
20170512 15:54:36.729107----DELLock Lock_2,ID:3
20170512 15:54:36.739863----DELLock Lock_3,ID:3
20170512 15:54:36.740054----GetLock Lock_1,ID:7
20170512 15:54:36.843888----lock failed,ID:9
